clip_id,block,anchor,s_oracle,s_oracle_anchor_only,s_oracle_voxel_centre,ok,n_valid_lidar_px,s_C0,s_C3,s_A,s_B,absrel_C0,absrel_C3,absrel_A,absrel_B,absrel_OR
2013_05_28_drive_0006_sync_007420,71,7420,22.641044619994968,23.287608097787235,23.969876086807083,1,86788,27.3665,29.360290917838917,21.255852794390158,20.600273150977998,0.22981833301136045,0.3114737171488537,0.10478801069340406,0.12642075020853347,0.08053352346742639
2013_05_28_drive_0006_sync_007425,71,7425,23.558656824263203,23.805185911285793,24.36606424166038,1,84588,27.3665,30.135133380265167,20.676716204573925,20.493676155177596,0.21344317850507488,0.32282324319304984,0.155266623985057,0.16175676309493703,0.09299662214136187
2013_05_28_drive_0006_sync_007430,71,7430,24.085790517748666,24.3671406739821,24.94366855936795,1,85273,27.3665,30.0718741549843,19.671894912914187,20.55476767388826,0.1821874328815279,0.2823875436327433,0.2296383443550173,0.19874492657215773,0.10710500542265967
2013_05_28_drive_0006_sync_007435,71,7435,25.247893645317536,25.807784045249818,26.51030672092545,1,89868,27.3665,31.32036055431521,19.93034188462773,21.13863103474785,0.12645254194358618,0.26013833356227645,0.24639756335511015,0.2031672699946026,0.0971674889474966
2013_05_28_drive_0006_sync_007440,71,7440,24.461907460468588,25.375927207799215,25.954501633674745,1,97221,27.3665,29.89078013536502,18.747801168598908,20.47671403556035,0.13694314838024524,0.22680127309791132,0.26550144426134836,0.20061110033033255,0.09239197067671187
2013_05_28_drive_0006_sync_007445,71,7445,23.445723962451467,24.510428431282367,24.8085404203386,1,102431,27.3665,27.902181424302768,17.784832469919785,19.583203921381244,0.1830418830075084,0.20407197734844568,0.2580926608729218,0.1858435121813582,0.08378890976320126
2013_05_28_drive_0006_sync_007450,71,7450,22.06166901843522,22.46148632047002,22.668591528212676,1,106121,27.3665,27.34268212198004,16.483169699510512,18.360749006644088,0.24616652854234744,0.2451286226913542,0.25557394049396726,0.17267417728038106,0.06382977793600626
2013_05_28_drive_0006_sync_007455,71,7455,19.92040035247035,19.97436423133367,19.83181678800865,1,107545,27.3665,26.089585182023978,15.017675962430427,16.845127311690067,0.37158974479958223,0.3085066003052281,0.24968531907456049,0.15970934133864415,0.05836136616191386
2013_05_28_drive_0006_sync_007460,71,7460,19.9504947938783,19.43704902883331,19.272521468235517,1,105866,27.3665,26.59675388816698,14.975992777673897,16.833938634367676,0.38815616867580344,0.34955719440909594,0.24323456994362008,0.15038051762916746,0.05908100114149414
2013_05_28_drive_0006_sync_007465,71,7465,18.794249461001915,18.24396798686921,18.260869606507473,1,105176,27.3665,25.432926481071444,14.803241718280779,16.30357166684458,0.45015838005308684,0.3486498716263421,0.21822281143211666,0.13997557868684987,0.052380528281971525
2013_05_28_drive_0006_sync_007470,71,7470,18.041160840142414,17.375996881844497,17.60000111018391,1,104085,27.3665,24.952778368317798,14.650696346712879,15.876504413355624,0.5123568686002777,0.3800370969486859,0.19366944717303097,0.1283494445347337,0.05514106579207924
2013_05_28_drive_0006_sync_007475,71,7475,18.200968401257462,18.332802756020744,18.494935168782913,1,103346,27.3665,25.398947102292233,15.13990404781879,16.160666472296263,0.5098539591761596,0.4021578908211994,0.17133789081741047,0.11678904081937175,0.040397672622456145
2013_05_28_drive_0006_sync_007480,71,7480,18.22725026974908,18.50225452561194,18.34912699239046,1,102031,27.3665,25.169393087052615,15.25619135458003,16.37602454764276,0.5189350808322283,0.39771873976198063,0.15924482188605718,0.09966309345266224,0.04050464215685004
